protein	accession	evalue	score
Brothers_S141_metabat1_051_S141_NODE_210_length_66394_cov_51.761872_57	TIGR02064	6.2e-175	590.6
Brothers_S144_maxbin2_179_S144_NODE_1797_length_13451_cov_1.588487_16	TIGR02064	6.2e-175	590.6
Brothers_S145_metabat2_001_S145_NODE_3926_length_8527_cov_3.897857_1	TIGR02064	6.6e-175	590.5
MAR_354-166_metabat1_062_354-166_scaffold_1094_c1_28	TIGR02064	6.8e-175	590.4
ELSC_M17_metabat2_042_M17_NODE_224_length_56632_cov_74.964463_34	TIGR02064	7.8e-175	590.3
ELSC_128-326_maxbin2_013_128-326_scaffold_4340_c1_4	TIGR02064	7.8e-175	590.2
Brothers_S013_maxbin2_156_S013_NODE_45770_length_1663_cov_10.133464_2	TIGR02064	8.4e-175	590.1
Brothers_S139_metabat2_157_S139_NODE_347_length_49459_cov_2.767555_14	TIGR02064	9.000000000000001e-175	590.0
Brothers_S146_metabat2_172_S146_NODE_9500_length_7162_cov_8.249041_4	TIGR02064	9.000000000000001e-175	590.0
Brothers_S140_maxbin2_177_VB_S140_NODE_17080_length_4968_cov_4.140260_2	TIGR02064	9.000000000000001e-175	590.0
Brothers_S139_maxbin2_221_S139_NODE_33_length_145514_cov_115.579701_125	TIGR02064	1.4e-174	589.4
MAR_355-202_maxbin2_109_355-202_scaffold_4281_c1_5	TIGR02064	1.7e-174	589.2
MAR_354-166_metabat2_117_354-166_scaffold_2052_c1_8	TIGR02064	1.7e-174	589.1
ELSC_A3_maxbin2_284_A3_NODE_2572_length_14818_cov_5.120754_2	TIGR02064	1.8000000000000002e-174	589.1
ELSC_T2_metabat2_285_T2_NODE_73_length_101662_cov_2.695583_58	TIGR02064	1.8000000000000002e-174	589.1
ELSC_T2_metabat2_050_T2_NODE_2967_length_17867_cov_5.241545_16	TIGR02064	1.8000000000000002e-174	589.1
ELSC_A3_metabat2_229_VB_A3_NODE_15018_length_6617_cov_3.160709_2	TIGR02064	1.8000000000000002e-174	589.1
ELSC_A1_metabat2_346_A1_NODE_29087_length_4025_cov_4.712417_3	TIGR02064	1.8000000000000002e-174	589.0
MAR_356-284_metabat2_141_356-284_scaffold_16618_c1_2	TIGR02064	1.8000000000000002e-174	589.0
ELSC_A3_metabat2_019_A3_NODE_14180_length_6792_cov_4.207202_2	TIGR02064	2.2e-174	588.8
ELSC_A3_metabat2_117_A3_NODE_6631_length_9658_cov_2.104081_5	TIGR02064	2.2e-174	588.7
ELSC_M2_metabat2_235_M2_NODE_23101_length_6056_cov_3.036768_2	TIGR02064	2.5e-174	588.6
ELSC_M17_metabat2_003_M17_NODE_24638_length_4880_cov_3.593730_2	TIGR02064	2.7000000000000003e-174	588.5
ELSC_T10_metabat2_003_T10_NODE_3592_length_9123_cov_8.599933_3	TIGR02064	2.7000000000000003e-174	588.5
ELSC_132-544_metabat2_068_132-544_scaffold_1670_c1_2	TIGR02064	2.7000000000000003e-174	588.5
ELSC_134-614_maxbin2_023_134-614_scaffold_11817_c2_2	TIGR02064	2.7000000000000003e-174	588.5
MAR_356-284_metabat1_055_356-284_scaffold_4315_c1_5	TIGR02064	3.6000000000000004e-174	588.1
MAR_356-284_metabat2_141_356-284_scaffold_4586_c2_3	TIGR02064	3.7e-174	588.0
ELSC_M10_metabat1_010_M10_NODE_8411_length_6091_cov_5.772133_5	TIGR02064	4.7e-174	587.7
ELSC_M17_metabat2_288_M17_NODE_18592_length_5844_cov_6.731852_3	TIGR02064	4.7e-174	587.7
MAR_356-284_maxbin2_179_356-284_scaffold_613_c1_29	TIGR02064	5.1e-174	587.6
MAR_354-166_maxbin2_125_VB_354-166_scaffold_828_c1_3	TIGR02064	5.8e-174	587.4
ELSC_A3_metabat2_117_A3_NODE_132015_length_2260_cov_1.652602_2	TIGR02064	8.8e-174	586.8
ELSC_T2_metabat2_398_T2_NODE_23203_length_6185_cov_8.948663_4	TIGR02064	1e-173	586.6
Brothers_S144_metabat2_191_S144_NODE_39546_length_3003_cov_6.374826_2	TIGR02064	1e-173	586.6
Brothers_S013_metabat2_053_S013_NODE_3181_length_6818_cov_2.502317_4	TIGR02064	1e-173	586.6
ELSC_T2_metabat1_240_T2_NODE_1384_length_26378_cov_2.451373_23	TIGR02064	1e-173	586.6
Brothers_S140_maxbin2_116_S140_NODE_23980_length_4242_cov_5.362090_1	TIGR02064	1.4999999999999999e-173	586.0
ELSC_T2_metabat1_029_T2_NODE_375_length_50432_cov_3.874108_24	TIGR02064	1.5999999999999998e-173	586.0
EPR_4281-140_metabat1_003_4281-140_scaffold_923_c1_12	TIGR02064	1.7e-173	585.9
Brothers_S010_metabat2_085_S010_NODE_6_length_104044_cov_5.940664_80	TIGR02064	2e-173	585.6
ELSC_M2_maxbin2_096_M2_NODE_29574_length_5211_cov_4.393194_1	TIGR02064	2e-173	585.6
Brothers_S144_maxbin2_240_S144_NODE_1438_length_14706_cov_151.026271_1	TIGR02064	2.1e-173	585.5
ELSC_M17_metabat2_180_M17_NODE_1898_length_21134_cov_2.450183_13	TIGR02064	2.3999999999999998e-173	585.4
ELSC_132-544_maxbin2_083_132-544_scaffold_356_c1_16	TIGR02064	2.3e-173	585.4
Brothers_S010_metabat2_085_S010_NODE_193_length_35987_cov_5.537535_12	TIGR02064	2.3e-173	585.4
ELSC_132-544_maxbin2_010_VB_132-544_scaffold_4274_c1_4	TIGR02064	2.4999999999999997e-173	585.3
ELSC_T2_maxbin2_393_T2_NODE_280476_length_1547_cov_4.133099_1	TIGR02064	2.5999999999999997e-173	585.2
ELSC_132-544_metabat2_111_132-544_scaffold_27759_c1_2	TIGR02064	4.4999999999999995e-173	584.4
Guaymas_4559-240_maxbin2_075_4559-240_scaffold_12944_c1_2	TIGR02064	4.7999999999999996e-173	584.4
MAR_354-166_metabat2_109_354-166_scaffold_886_c1_11	TIGR02064	5.199999999999999e-173	584.2
ELSC_T2_metabat2_068_T2_NODE_16912_length_7286_cov_2.912278_7	TIGR02064	5.4e-173	584.2
EPR_PIR-30_metabat1_068_PIR-30_scaffold_5275_c1_4	TIGR02064	5.4999999999999995e-173	584.2
ELSC_A1_maxbin2_065_A1_NODE_1417_length_15761_cov_5.028016_10	TIGR02064	5.4999999999999995e-173	584.2
ELSC_132-544_maxbin2_083_132-544_scaffold_332_c1_16	TIGR02064	5.899999999999999e-173	584.1
ELSC_T2_metabat2_190_T2_NODE_6769_length_11608_cov_1.917255_9	TIGR02064	5.899999999999999e-173	584.1
MAR_354-166_metabat2_056_354-166_scaffold_10371_c1_7	TIGR02064	5.899999999999999e-173	584.1
Brothers_S012_maxbin2_020_S012_NODE_19367_length_4274_cov_2.878949_3	TIGR02064	6.7e-173	583.9
ELSC_A3_maxbin2_074_A3_NODE_21183_length_5629_cov_2.084696_6	TIGR02064	7.1e-173	583.8
ELSC_134-614_metabat2_015_134-614_scaffold_264_c1_32	TIGR02064	7.4e-173	583.7
Brothers_S011_maxbin2_052_S011_NODE_281_length_18213_cov_3.869568_13	TIGR02064	8.599999999999999e-173	583.5
MAR_356-284_metabat2_123_356-284_scaffold_516_c2_25	TIGR02064	9.1e-173	583.4
Brothers_S146_metabat2_230_S146_NODE_1037_length_18401_cov_2.706249_15	TIGR02064	9.599999999999999e-173	583.4
Brothers_S139_maxbin2_159_S139_NODE_1115_length_27636_cov_3.388491_24	TIGR02064	9.599999999999999e-173	583.4
Brothers_S140_maxbin2_006_S140_NODE_17495_length_4910_cov_3.208865_4	TIGR02064	9.699999999999999e-173	583.3
Brothers_S143_metabat2_244_S143_NODE_638_length_28267_cov_89.988024_11	TIGR02064	9.699999999999999e-173	583.3
EPR_PIR-30_maxbin2_081_PIR-30_scaffold_13090_c1_4	TIGR02064	1.1e-172	583.2
Brothers_S144_metabat2_087_S144_NODE_2254_length_12169_cov_1.503571_5	TIGR02064	1.2e-172	583.1
Brothers_S140_metabat1_037_S140_NODE_681_length_17618_cov_1.997027_15	TIGR02064	1.2e-172	583.1
ELSC_A3_metabat2_117_A3_NODE_9982_length_8011_cov_1.674277_7	TIGR02064	1.3e-172	583.0
ELSC_T10_metabat1_028_T10_NODE_205_length_36169_cov_6.140891_25	TIGR02064	1.3e-172	582.9
MAR_356-284_metabat2_069_356-284_scaffold_1560_c1_5	TIGR02064	1.5e-172	582.7
Brothers_S144_maxbin2_240_S144_NODE_46231_length_2745_cov_64.773491_4	TIGR02064	2.1e-172	582.2
ELSC_134-614_metabat2_042_134-614_scaffold_3768_c1_7	TIGR02064	2.4e-172	582.1
ELSC_134-614_metabat2_022_134-614_scaffold_36049_c1_3	TIGR02064	2.4e-172	582.0
ELSC_A1_maxbin2_431_A1_NODE_43785_length_3318_cov_12.172987_1	TIGR02064	3.0999999999999997e-172	581.7
Brothers_S016_metabat2_157_S016_NODE_20414_length_4037_cov_2.768286_2	TIGR02064	3.0999999999999997e-172	581.7
Brothers_S145_metabat1_022_VB_S145_NODE_19472_length_3370_cov_1.262103_4	TIGR02064	3.0999999999999997e-172	581.7
ELSC_T2_maxbin2_508_T2_NODE_2454_length_19591_cov_29.517828_6	TIGR02064	3.2e-172	581.6
Brothers_S145_metabat1_022_VB_S145_NODE_6211_length_6573_cov_1.231927_8	TIGR02064	3.6e-172	581.5
ELSC_A1_maxbin2_388_A1_NODE_43748_length_3319_cov_15.183897_1	TIGR02064	3.8e-172	581.4
ELSC_T2_maxbin2_001_T2_NODE_37502_length_4840_cov_2.464884_5	TIGR02064	4.2e-172	581.3
Brothers_S140_metabat2_048_S140_NODE_39352_length_3315_cov_1.226474_2	TIGR02064	4.2e-172	581.2
Brothers_S146_metabat1_071_S146_NODE_5935_length_8874_cov_1.915057_9	TIGR02064	4.2e-172	581.2
ELSC_T10_metabat2_125_T10_NODE_928_length_17561_cov_5.420041_18	TIGR02064	4.3e-172	581.2
ELSC_T2_metabat1_031_T2_NODE_34285_length_5069_cov_2.431000_7	TIGR02064	4.3e-172	581.2
MAR_355-202_metabat2_023_355-202_scaffold_4317_c1_5	TIGR02064	4.9e-172	581.0
MAR_356-284_metabat2_037_356-284_scaffold_928_c1_4	TIGR02064	5.1e-172	581.0
MAR_356-284_metabat2_118_356-284_scaffold_6158_c1_7	TIGR02064	5.9e-172	580.8
ELSC_128-326_metabat2_022_128-326_scaffold_3258_c1_6	TIGR02064	5.9e-172	580.8
ELSC_A1_metabat2_102_A1_NODE_38743_length_3520_cov_1.762157_2	TIGR02064	5.6e-172	580.8
ELSC_A3_metabat1_154_A3_NODE_7895_length_8922_cov_3.220466_5	TIGR02064	5.6e-172	580.8
ELSC_A3_metabat2_378_A3_NODE_138378_length_2205_cov_1.480269_2	TIGR02064	7.4e-172	580.4
ELSC_M2_metabat1_027_M2_NODE_33378_length_4850_cov_1.849037_1	TIGR02064	8.9e-172	580.2
ELSC_132-544_maxbin2_109_132-544_scaffold_268_c1_5	TIGR02064	9.3e-172	580.1
EPR_PIR-30_metabat2_024_PIR-30_scaffold_4728_c1_2	TIGR02064	1.2e-171	579.8
ELSC_T2_maxbin2_052_T2_NODE_4139_length_15071_cov_2.582040_6	TIGR02064	1.2e-171	579.7
ELSC_134-614_metabat2_069_134-614_scaffold_25933_c1_1	TIGR02064	1.2999999999999998e-171	579.7
ELSC_A3_maxbin2_510_A3_NODE_49357_length_3735_cov_1.349224_1	TIGR02064	1.2999999999999998e-171	579.7
ELSC_T2_maxbin2_520_T2_NODE_4806_length_13928_cov_2.125063_14	TIGR02064	1.2999999999999998e-171	579.7
ELSC_T11_metabat2_157_T11_NODE_10270_length_5888_cov_1.493491_6	TIGR02064	1.5e-171	579.5
ELSC_M2_metabat1_070_M2_NODE_69527_length_3094_cov_2.592518_2	TIGR02064	1.3999999999999999e-171	579.5
MAR_354-166_maxbin2_107_354-166_scaffold_305_c2_45	TIGR02064	1.3999999999999999e-171	579.5
MAR_354-166_metabat2_098_354-166_scaffold_594_c1_19	TIGR02064	1.5e-171	579.4
ELSC_T2_metabat2_050_T2_NODE_66776_length_3572_cov_1.876923_1	TIGR02064	1.5e-171	579.4
ELSC_132-544_metabat2_080_132-544_scaffold_698_c2_4	TIGR02064	1.5999999999999998e-171	579.4
EPR_4281-140_metabat1_006_4281-140_scaffold_5784_c1_4	TIGR02064	1.7e-171	579.3
MAR_356-284_metabat2_062_356-284_scaffold_8331_c1_6	TIGR02064	1.7e-171	579.2
MAR_355-202_metabat1_029_355-202_scaffold_6449_c1_4	TIGR02064	1.8999999999999999e-171	579.1
Brothers_S146_metabat2_158_VB_S146_NODE_6028_length_8805_cov_2.454713_10	TIGR02064	2.0999999999999996e-171	579.0
ELSC_T10_metabat1_007_T10_NODE_1375_length_14604_cov_17.438281_13	TIGR02064	2.4e-171	578.8
ELSC_T11_metabat2_172_T11_NODE_1735_length_14348_cov_3.406722_4	TIGR02064	2.4e-171	578.8
ELSC_A1_metabat1_121_A1_NODE_3192_length_10895_cov_5.985884_10	TIGR02064	2.4e-171	578.8
Brothers_S139_metabat2_090_S139_NODE_54879_length_3190_cov_3.821090_1	TIGR02064	2.5999999999999996e-171	578.6
Brothers_S009_metabat2_028_S009_NODE_266_length_10349_cov_74.614752_4	TIGR02064	3e-171	578.5
Brothers_S143_metabat2_021_S143_NODE_66064_length_2333_cov_29.861741_1	TIGR02064	3.0999999999999996e-171	578.4
ELSC_A1_metabat2_193_A1_NODE_31362_length_3889_cov_4.203349_4	TIGR02064	3.0999999999999996e-171	578.4
MAR_355-202_metabat1_030_355-202_scaffold_369_c1_17	TIGR02064	3.1999999999999997e-171	578.3
Brothers_S143_maxbin2_264_S143_NODE_10556_length_6575_cov_17.531172_2	TIGR02064	3.5999999999999996e-171	578.2
ELSC_134-614_metabat2_005_134-614_scaffold_1713_c1_15	TIGR02064	3.6999999999999997e-171	578.2
ELSC_M17_metabat2_205_M17_NODE_7488_length_10027_cov_4.260202_9	TIGR02064	3.6999999999999997e-171	578.2
Brothers_S141_metabat2_236_S141_NODE_832_length_32942_cov_1.752369_26	TIGR02064	3.5999999999999996e-171	578.2
ELSC_A3_maxbin2_197_A3_NODE_19931_length_5801_cov_1.605041_2	TIGR02064	3.4999999999999995e-171	578.2
ELSC_132-544_maxbin2_090_132-544_scaffold_32171_c1_2	TIGR02064	4.0000000000000004e-171	578.0
ELSC_134-614_maxbin2_104_134-614_scaffold_144_c1_18	TIGR02064	4.0000000000000004e-171	578.0
ELSC_M10_metabat1_013_M10_NODE_115_length_72633_cov_3.590710_51	TIGR02064	4.0000000000000004e-171	578.0
ELSC_M17_metabat2_252_M17_NODE_77_length_83308_cov_9.636215_52	TIGR02064	4.0000000000000004e-171	578.0
ELSC_T11_metabat2_222_T11_NODE_12586_length_5321_cov_5.133038_3	TIGR02064	4.0000000000000004e-171	578.0
ELSC_T11_metabat2_180_T11_NODE_2857_length_11240_cov_1.526051_12	TIGR02064	4.0000000000000004e-171	578.0
EPR_PIR-30_metabat1_046_PIR-30_scaffold_265_c1_25	TIGR02064	4.0999999999999996e-171	578.0
Brothers_S144_maxbin2_116_S144_NODE_107_length_43222_cov_5.147929_33	TIGR02064	4.4999999999999995e-171	577.9
EPR_PIR-30_maxbin2_128_PIR-30_scaffold_1129_c1_5	TIGR02064	5.1e-171	577.7
ELSC_A3_maxbin2_507_A3_NODE_215923_length_1742_cov_9.050155_1	TIGR02064	5.299999999999999e-171	577.6
ELSC_A1_maxbin2_065_A1_NODE_39617_length_3481_cov_5.623733_3	TIGR02064	5.299999999999999e-171	577.6
ELSC_132-544_maxbin2_109_132-544_scaffold_29_c1_19	TIGR02064	5.299999999999999e-171	577.6
Brothers_S145_metabat2_049_S145_NODE_94_length_59061_cov_51.833882_48	TIGR02064	5.299999999999999e-171	577.6
ELSC_T2_metabat2_146_T2_NODE_31810_length_5263_cov_3.084307_4	TIGR02064	5.8e-171	577.5
Brothers_S139_maxbin2_159_S139_NODE_117585_length_1912_cov_4.111485_1	TIGR02064	6.399999999999999e-171	577.4
Brothers_S012_maxbin2_211_S012_NODE_1816_length_16914_cov_4.353905_5	TIGR02064	6.8e-171	577.3
Brothers_S141_metabat2_193_S141_NODE_753_length_34911_cov_23.273775_18	TIGR02064	6.8e-171	577.3
Brothers_S146_metabat2_118_S146_NODE_346_length_27800_cov_2.224081_17	TIGR02064	6.9e-171	577.2
Brothers_S143_metabat2_026_S143_NODE_25558_length_4067_cov_4.461168_2	TIGR02064	6.9e-171	577.2
ELSC_M10_metabat2_104_M10_NODE_2640_length_12069_cov_1.308659_11	TIGR02064	7.499999999999999e-171	577.1
ELSC_T2_metabat2_123_T2_NODE_117927_length_2605_cov_1.016142_2	TIGR02064	7.499999999999999e-171	577.1
ELSC_M2_metabat1_001_M2_NODE_3914_length_16491_cov_8.897213_12	TIGR02064	9e-171	576.9
Brothers_S144_metabat2_034_S144_NODE_72123_length_2119_cov_4.732430_1	TIGR02064	9.9e-171	576.7
Brothers_S144_metabat2_104_S144_NODE_11468_length_5705_cov_1.744174_4	TIGR02064	1e-170	576.7
ELSC_A1_maxbin2_012_A1_NODE_3115_length_11029_cov_54.463952_1	TIGR02064	1.2e-170	576.5
MAR_356-284_metabat1_115_356-284_scaffold_15953_c1_7	TIGR02064	1.2e-170	576.5
EPR_PIR-30_metabat2_069_PIR-30_scaffold_258_c1_35	TIGR02064	1.3e-170	576.4
ELSC_T2_metabat2_075_T2_NODE_43709_length_4473_cov_1.612057_2	TIGR02064	1.3e-170	576.3
Brothers_S010_maxbin2_014_VB_S010_NODE_5059_length_6624_cov_1.705864_5	TIGR02064	1.4e-170	576.3
ELSC_M1_metabat2_056_M1_NODE_247_length_35639_cov_2.507856_28	TIGR02064	1.4e-170	576.2
ELSC_A3_metabat2_059_A3_NODE_1323_length_19675_cov_2.750665_19	TIGR02064	1.5e-170	576.1
ELSC_A3_metabat2_072_A3_NODE_36737_length_4311_cov_1.159417_5	TIGR02064	1.9000000000000002e-170	575.8
ELSC_128-326_metabat2_090_128-326_scaffold_3983_c1_5	TIGR02064	1.9000000000000002e-170	575.8
Brothers_S141_metabat2_038_S141_NODE_27882_length_3954_cov_1.759342_2	TIGR02064	1.9000000000000002e-170	575.8
Brothers_S140_metabat2_232_S140_NODE_33108_length_3619_cov_5.982532_3	TIGR02064	1.9000000000000002e-170	575.8
Brothers_S012_metabat1_056_S012_NODE_22085_length_3948_cov_2.843496_3	TIGR02064	2e-170	575.7
Brothers_S141_metabat2_034_S141_NODE_25333_length_4228_cov_9.580346_3	TIGR02064	2e-170	575.7
Brothers_S140_maxbin2_032_S140_NODE_31711_length_3699_cov_2.814670_2	TIGR02064	2.1e-170	575.7
Brothers_S143_maxbin2_350_S143_NODE_3100_length_12450_cov_83.139090_7	TIGR02064	2.1e-170	575.7
MAR_356-308_metabat1_072_356-308_scaffold_468_c1_4	TIGR02064	2.1e-170	575.6
ELSC_A3_metabat2_168_A3_NODE_1769_length_17417_cov_2.836032_16	TIGR02064	2.5e-170	575.4
Brothers_S009_maxbin2_006_S009_NODE_7231_length_2757_cov_20.065019_2	TIGR02064	2.7000000000000002e-170	575.3
Brothers_S012_maxbin2_017_S012_NODE_78552_length_1810_cov_1.254308_2	TIGR02064	3.4e-170	575.0
ELSC_T2_maxbin2_010_T2_NODE_116633_length_2621_cov_5.708500_4	TIGR02064	3.5e-170	574.9
Brothers_S145_metabat1_015_S145_NODE_345_length_30333_cov_7.594021_12	TIGR02064	3.8000000000000005e-170	574.8
Brothers_S144_metabat2_100_S144_NODE_627_length_21364_cov_1.601309_22	TIGR02064	4e-170	574.7
ELSC_A3_metabat2_364_A3_NODE_1143_length_20851_cov_10.434183_15	TIGR02064	4.1000000000000004e-170	574.7
ELSC_M10_maxbin2_017_M10_NODE_20197_length_3464_cov_10.258016_3	TIGR02064	4.2e-170	574.7
ELSC_T2_maxbin2_371_T2_NODE_44173_length_4448_cov_16.502893_1	TIGR02064	4.4e-170	574.6
ELSC_M10_metabat2_096_M10_NODE_16973_length_3874_cov_12.657593_2	TIGR02064	4.6000000000000005e-170	574.5
Guaymas_4559-240_metabat2_108_4559-240_scaffold_9570_c1_4	TIGR02064	4.7e-170	574.5
ELSC_T10_metabat2_195_T10_NODE_5070_length_7676_cov_5.087959_8	TIGR02064	4.7e-170	574.5
ELSC_T2_maxbin2_181_T2_NODE_5886_length_12514_cov_1.782918_7	TIGR02064	4.7e-170	574.5
Guaymas_4559-240_metabat2_002_4559-240_scaffold_2247_c1_2	TIGR02064	5.6e-170	574.3
ELSC_A3_metabat2_316_A3_NODE_2628_length_14666_cov_2.876264_7	TIGR02064	5.7e-170	574.2
ELSC_M10_maxbin2_181_M10_NODE_44417_length_2003_cov_1.792644_1	TIGR02064	6.3e-170	574.1
MAR_356-284_metabat1_060_356-284_scaffold_8_c1_152	TIGR02064	6.4000000000000006e-170	574.1
ELSC_M17_maxbin2_074_M17_NODE_14462_length_6792_cov_3.746887_8	TIGR02064	6.3e-170	574.1
ELSC_T2_metabat1_003_T2_NODE_19649_length_6742_cov_1.996674_5	TIGR02064	6.3e-170	574.1
ELSC_T2_metabat1_270_T2_NODE_31_length_139278_cov_7.996745_129	TIGR02064	6.3e-170	574.1
ELSC_A3_maxbin2_004_A3_NODE_84383_length_2851_cov_2.342511_1	TIGR02064	6.2000000000000004e-170	574.1
Guaymas_4559-240_metabat2_108_4559-240_scaffold_22578_c1_3	TIGR02064	6.1e-170	574.1
ELSC_A3_maxbin2_082_A3_NODE_35129_length_4404_cov_2.486556_4	TIGR02064	6.3e-170	574.1
EPR_PIR-30_maxbin2_164_PIR-30_scaffold_1590_c1_8	TIGR02064	7.3e-170	573.9
ELSC_T2_metabat2_040_T2_NODE_4739_length_14031_cov_3.936349_5	TIGR02064	8.8e-170	573.6
Brothers_S144_metabat2_140_S144_NODE_7_length_121005_cov_42.239721_82	TIGR02064	1e-169	573.4
ELSC_M10_metabat1_021_M10_NODE_750_length_25052_cov_9.620983_22	TIGR02064	1e-169	573.4
ELSC_T10_metabat2_152_T10_NODE_8_length_204480_cov_40.436916_29	TIGR02064	1e-169	573.4
ELSC_T2_metabat1_112_T2_NODE_219127_length_1803_cov_1.305489_2	TIGR02064	1.0999999999999999e-169	573.3
Brothers_S139_maxbin2_231_S139_NODE_47519_length_3498_cov_1.222189_5	TIGR02064	1.0999999999999999e-169	573.3
ELSC_A1_metabat2_172_A1_NODE_8624_length_6987_cov_3.724636_5	TIGR02064	1.0999999999999999e-169	573.3
ELSC_T11_metabat2_051_T11_NODE_1929_length_13613_cov_2.267018_3	TIGR02064	1.0999999999999999e-169	573.3
ELSC_M17_maxbin2_092_M17_NODE_16549_length_6268_cov_2.599902_7	TIGR02064	1.0999999999999999e-169	573.2
ELSC_A3_maxbin2_136_A3_NODE_12135_length_7292_cov_2.958967_7	TIGR02064	1.1999999999999999e-169	573.2
Brothers_S144_metabat1_009_S144_NODE_8999_length_6444_cov_15.898686_2	TIGR02064	1.2999999999999999e-169	573.1
Brothers_S143_metabat2_154_S143_NODE_26711_length_3971_cov_14.975026_2	TIGR02064	1.2999999999999999e-169	573.0
ELSC_T11_maxbin2_305_T11_NODE_7090_length_7078_cov_2.621493_2	TIGR02064	1.9e-169	572.5
ELSC_128-326_metabat2_077_128-326_scaffold_9763_c1_8	TIGR02064	2e-169	572.5
ELSC_T2_metabat1_254_T2_NODE_9374_length_9846_cov_4.478650_2	TIGR02064	1.9e-169	572.5
ELSC_A1_metabat1_122_A1_NODE_7312_length_7521_cov_5.360563_2	TIGR02064	1.9e-169	572.5
MAR_354-166_metabat2_030_354-166_scaffold_4371_c1_12	TIGR02064	1.8e-169	572.5
Brothers_S146_metabat2_080_S146_NODE_5388_length_9292_cov_3.138680_11	TIGR02064	1.9e-169	572.5
ELSC_M2_metabat1_026_M2_NODE_30329_length_5134_cov_3.046934_4	TIGR02064	2e-169	572.4
MAR_354-166_metabat2_072_354-166_scaffold_1167_c1_11	TIGR02064	2.1999999999999998e-169	572.3
ELSC_M10_metabat2_163_M10_NODE_8936_length_5869_cov_1.975444_3	TIGR02064	2.5999999999999998e-169	572.0
ELSC_134-614_metabat2_142_134-614_scaffold_1593_c1_14	TIGR02064	2.8e-169	572.0
Brothers_S140_maxbin2_220_S140_NODE_126507_length_1719_cov_1.251256_1	TIGR02064	3.7e-169	571.6
ELSC_A1_maxbin2_115_VB_A1_NODE_8685_length_6969_cov_3.242473_6	TIGR02064	3.8e-169	571.5
EPR_4281-140_maxbin2_028_VB_4281-140_scaffold_3414_c1_4	TIGR02064	4.1e-169	571.4
MAR_355-202_maxbin2_139_355-202_scaffold_5504_c1_2	TIGR02064	4.5e-169	571.3
MAR_355-202_metabat2_066_355-202_scaffold_79_c1_42	TIGR02064	4.7999999999999996e-169	571.2
ELSC_A3_maxbin2_168_A3_NODE_534_length_28779_cov_44.216111_20	TIGR02064	4.9e-169	571.1
ELSC_A1_maxbin2_166_A1_NODE_9972_length_6562_cov_2.973271_6	TIGR02064	5.1999999999999997e-169	571.1
ELSC_A1_metabat2_062_A1_NODE_26_length_74939_cov_45.679370_40	TIGR02064	5.3e-169	571.0
ELSC_A1_metabat2_052_A1_NODE_30981_length_3911_cov_2.898784_4	TIGR02064	6e-169	570.9
ELSC_A3_maxbin2_003_A3_NODE_92160_length_2726_cov_16.110042_2	TIGR02064	6e-169	570.9
ELSC_132-544_metabat2_059_132-544_scaffold_1289_c1_3	TIGR02064	6.7e-169	570.7
ELSC_T2_metabat2_359_T2_NODE_21623_length_6414_cov_8.858915_7	TIGR02064	6.7e-169	570.7
ELSC_V2_metabat2_012_V2_NODE_612_length_12166_cov_7.378188_6	TIGR02064	6.7e-169	570.7
Brothers_S140_maxbin2_135_S140_NODE_139764_length_1618_cov_0.977197_1	TIGR02064	7.299999999999999e-169	570.6
Brothers_S012_metabat1_034_S012_NODE_3870_length_10889_cov_2.418231_6	TIGR02064	7.5e-169	570.6
Brothers_S139_metabat1_090_S139_NODE_595_length_38762_cov_1.795496_8	TIGR02064	7.5e-169	570.6
Brothers_S141_metabat1_088_S141_NODE_1248_length_26336_cov_27.043000_1	TIGR02064	7.299999999999999e-169	570.6
EPR_PIR-30_metabat1_087_PIR-30_scaffold_5108_c1_3	TIGR02064	7.1e-169	570.6
Brothers_S143_metabat2_004_S143_NODE_157_length_54157_cov_2.685378_45	TIGR02064	7e-169	570.6
Brothers_S140_metabat2_230_S140_NODE_1279_length_14047_cov_2.835848_11	TIGR02064	7.9e-169	570.5
MAR_354-166_metabat2_133_354-166_scaffold_447_c2_28	TIGR02064	8.099999999999999e-169	570.4
ELSC_132-544_maxbin2_024_132-544_scaffold_13605_c1_6	TIGR02064	1.1000000000000001e-168	570.0
ELSC_134-614_maxbin2_009_134-614_scaffold_30415_c1_3	TIGR02064	1.1000000000000001e-168	570.0
Brothers_S146_metabat2_168_S146_NODE_9982_length_6994_cov_33.359546_1	TIGR02064	1.2e-168	569.9
Brothers_S144_maxbin2_057_S144_NODE_33612_length_3283_cov_2.163498_1	TIGR02064	1.5000000000000002e-168	569.6
Brothers_S144_metabat2_082_S144_NODE_12299_length_5516_cov_2.334756_8	TIGR02064	1.5000000000000002e-168	569.6
Brothers_S146_metabat1_059_S146_NODE_1011_length_18615_cov_6.899502_15	TIGR02064	1.7e-168	569.4
ELSC_A3_maxbin2_110_VB_A3_NODE_13885_length_6864_cov_1.658453_7	TIGR02064	1.9e-168	569.2
ELSC_A1_metabat1_134_A1_NODE_498_length_25439_cov_4.287927_17	TIGR02064	1.9e-168	569.2
Brothers_S140_maxbin2_125_VB_S140_NODE_51208_length_2880_cov_0.940065_2	TIGR02064	1.9e-168	569.2
ELSC_A3_maxbin2_023_A3_NODE_58426_length_3432_cov_5.164599_1	TIGR02064	2e-168	569.1
